CodigoCliente,Titulo,PrimeiroNome,UltimoNome,Idade,Sexo,Endereco,Cidade,UF,UFCompleto,CEP,Pais,PaisCompleto,Email,RendaMensal,PercentualUtilizacaoLimite,QtdTransacoesNegadas,AnosDeRelacionamentoBanco,JaUsouChequeEspecial,QtdEmprestimos,NumeroAtendimentos,TMA,IndiceSatisfacao,Saldo,CLTV,CanalPref,Churn
2428,Sra.,Tânia,Sousa,33,Feminino,Rua Inocência 63,Guarulhos,SP,São Paulo,07272-520,BR,Brazil,TaniaCorreiaSousa@armyspy.com,9255,1,13,6,0,5,26,193,3,3679,86,Email,1
2429,Sra.,Gabrielle,Araujo,26,Feminino,Avenida João Pinheiro 1092,Poços de Caldas,MG,Minas Gerais,37704-392,BR,Brazil,GabrielleFernandesAraujo@fleckens.hu,6993,0.15,3,12,1,2,2,1,5,8702,34,Ligacao,0
2430,Sra.,Alice,Souza,29,Feminino,Travessa WE-61 1403,Ananindeua,PA,Pará,67133-135,BR,Brazil,AliceAzevedoSouza@einrot.com,7996,1,12,13,0,3,49,75,2,494,88,Ligacao,1
2431,Sra.,Gabriela,Barbosa,37,Feminino,Rua Real da Torre 1770,Recife,PE,Pernambuco,50610-000,BR,Brazil,GabrielaSouzaBarbosa@superrito.com,5927,0.81,4,12,0,3,36,127,2,1831,30,Email,1
2432,Sr.,Carlos,Araujo,35,Masculino,Rua Nadir Avelino 801,Contagem,MG,Minas Gerais,32310-475,BR,Brazil,CarlosSilvaAraujo@fleckens.hu,4230,0.02,12,8,0,4,2,3,5,9422,87,SMS,0
2433,Sr.,Kauã,Goncalves,42,Masculino,Rua Dezoito 1790,Cariacica,ES,Espírito Santo,29143-007,BR,Brazil,KauaAlmeidaGoncalves@gustr.com,3432,0.21,3,5,1,2,1,5,4,5923,51,SMS,0
2434,Sra.,Lara,Dias,28,Feminino,Rua General Francisco José Pinto 812,Rio de Janeiro,RJ,Rio de Janeiro,22290-120,BR,Brazil,LaraAzevedoDias@rhyta.com,3409,0.19,1,15,1,2,2,6,4,1997,72,Email,0
2435,Sra.,Evelyn,Rocha,46,Feminino,Rua Presidente Médice 1812,Itabuna,BA,Bahia,45606-075,BR,Brazil,EvelynBarbosaRocha@einrot.com,7317,0.02,7,0,0,1,2,1,4,7857,66,Ligacao,0
2436,Sra.,Isabelle,Ribeiro,40,Feminino,Rua Jaçanã 946,Palhoça,SC,Santa Catarina,88132-065,BR,Brazil,IsabelleCardosoRibeiro@teleworm.us,3627,0.39,3,14,1,0,1,8,5,2244,51,SMS,0
2437,Sra.,Sarah,Costa,48,Feminino,Rua João Américo da Silva 1408,Palhoça,SC,Santa Catarina,88134-378,BR,Brazil,SarahMartinsCosta@teleworm.us,3739,0.98,3,3,0,0,45,135,0,4516,35,SMS,1
2438,Sr.,Douglas,Araujo,53,Masculino,Rua São José do Norte 971,Novo Hamburgo,RS,Rio Grande do Sul,93548-110,BR,Brazil,DouglasLimaAraujo@rhyta.com,4840,0.92,8,11,1,3,27,182,3,2309,59,Ligacao,1
2439,Sra.,Julia,Oliveira,51,Feminino,Rua Desembargador José Cavalcanti Silva 1884,Ribeirão Preto,SP,São Paulo,14090-369,BR,Brazil,JuliaRodriguesOliveira@teleworm.us,4965,0.47,9,10,0,5,1,5,4,6062,75,Ligacao,0
2440,Dr.,Vitoria,Barbosa,32,Feminino,Caminho 28-Qd B 1440,Salvador,BA,Bahia,41343-718,BR,Brazil,VitoriaCavalcantiBarbosa@cuvox.de,4182,0.86,8,9,0,4,19,31,0,6083,45,Ligacao,1
2441,Sra.,Carla,Rodrigues,58,Feminino,Rua José Maia Filho 1508,Gravataí,RS,Rio Grande do Sul,94197-530,BR,Brazil,CarlaCarvalhoRodrigues@teleworm.us,5994,0.8,14,17,0,2,43,136,0,1425,80,SMS,1
2442,Sra.,Clara,Melo,49,Feminino,Rua Cristóvão Gil Lopes 1687,Guarujá,SP,São Paulo,11462-290,BR,Brazil,ClaraAraujoMelo@jourrapide.com,5588,0.39,0,3,0,2,2,8,5,6995,32,Ligacao,0
2443,Dr.,Sarah,Oliveira,19,Feminino,Avenida Papa João XXIII 1578,Jacareí,SP,São Paulo,12310-090,BR,Brazil,SarahCorreiaOliveira@einrot.com,8976,0.22,11,14,0,0,2,1,4,1905,57,SMS,0
2444,Sra.,Carolina,Correia,64,Feminino,Rua Joaquim Lopes 1866,Ourinhos,SP,São Paulo,19904-550,BR,Brazil,CarolinaSouzaCorreia@teleworm.us,3706,0.94,1,2,0,5,33,38,0,1032,45,Push,1
2445,Sr.,Rodrigo,Melo,56,Masculino,Beco Ubá 824,Belo Horizonte,MG,Minas Gerais,30330-610,BR,Brazil,RodrigoRodriguesMelo@teleworm.us,4052,0.87,15,17,0,3,16,133,1,6160,67,SMS,1
2446,Sra.,Maria,Ferreira,33,Feminino,Rua Santos Andrade 1850,Sarandi,PR,Paraná,87113-020,BR,Brazil,MariaCardosoFerreira@einrot.com,8626,1,7,10,0,0,29,49,3,3284,37,SMS,1
2447,Sra.,Vitoria,Dias,37,Feminino,Rua das Passionistas 88,Bebedouro,SP,São Paulo,14702-128,BR,Brazil,VitoriaFerreiraDias@einrot.com,3765,1,10,16,0,4,48,157,2,9039,89,Email,1
2448,Sr.,Tiago,Carvalho,25,Masculino,Travessa Machado 874,São Gonçalo,RJ,Rio de Janeiro,24422-590,BR,Brazil,TiagoLimaCarvalho@fleckens.hu,8197,0.46,15,1,1,4,2,4,5,4149,67,Ligacao,0
2449,Sr.,Fábio,Martins,43,Masculino,Rua João Carvalho da Silva 1348,São Paulo,SP,São Paulo,04840-490,BR,Brazil,FabioLimaMartins@cuvox.de,7860,0.39,15,6,0,3,3,7,4,5973,59,SMS,0
2450,Sr.,Danilo,Martins,39,Masculino,Travessa Iguatemi 1770,Feira de Santana,BA,Bahia,44037-390,BR,Brazil,DaniloCavalcantiMartins@cuvox.de,7126,0.1,7,16,0,3,1,8,4,435,84,Push,0
2451,Sra.,Leonor,Martins,52,Feminino,Rua Barão da Lagoa Dourada 937,Campos dos Goytacazes,RJ,Rio de Janeiro,28035-211,BR,Brazil,LeonorRibeiroMartins@gustr.com,3593,0.1,14,19,0,5,2,3,4,8122,66,Push,0
2452,Sra.,Sophia,Rocha,58,Feminino,Rua das Bruneiras 859,Taubaté,SP,São Paulo,12050-660,BR,Brazil,SophiaAlvesRocha@armyspy.com,3084,0.84,15,12,0,1,50,193,2,6400,77,SMS,1
2453,Sra.,Isabella,Araujo,40,Feminino,Rua Professor Baeta Neves 79,Belo Horizonte,MG,Minas Gerais,30530-020,BR,Brazil,IsabellaLimaAraujo@armyspy.com,3460,1,7,13,0,0,45,198,1,1096,55,Email,1
2454,Sra.,Vitória,Lima,31,Feminino,Rua Franca Júnior 1124,Barra do Piraí,RJ,Rio de Janeiro,27113-150,BR,Brazil,VitoriaCardosoLima@rhyta.com,5996,0.97,8,11,0,3,23,106,0,4250,39,SMS,1
2455,Sra.,Sofia,Martins,49,Feminino,Rua José Benedito Mouri Fernandes 752,Recife,PE,Pernambuco,50780-470,BR,Brazil,SofiaCostaMartins@fleckens.hu,7039,0.9,9,5,0,5,39,101,1,7179,38,SMS,1
2456,Sr.,Renan,Almeida,38,Masculino,Rua Presciliana Monteiro 334,Taubaté,SP,São Paulo,12061-010,BR,Brazil,RenanRodriguesAlmeida@dayrep.com,5537,0.89,12,3,0,2,17,91,3,4445,36,Ligacao,1
2457,Sra.,Leila,Azevedo,35,Feminino,Rua Lucas 600,São João Del Rei,MG,Minas Gerais,36305-166,BR,Brazil,LeilaRodriguesAzevedo@fleckens.hu,3227,0.49,0,1,0,4,1,2,4,4187,59,Ligacao,0
2458,Sr.,Eduardo,Costa,53,Masculino,Rua Professor Rivadavia Marques Júnior 1698,Itapeva,SP,São Paulo,18400-370,BR,Brazil,EduardoRodriguesCosta@rhyta.com,3754,0.85,6,4,0,3,44,43,1,9650,90,Push,1
2459,Sra.,Thaís,Sousa,54,Feminino,Rua Custódio Fermino Vieira 1982,Florianópolis,SC,Santa Catarina,88045-300,BR,Brazil,ThaisOliveiraSousa@rhyta.com,3471,0.91,10,16,0,4,29,84,0,2949,70,Ligacao,1
2460,Sra.,Lara,Silva,59,Feminino,Rua do Planalto 1364,Jacareí,SP,São Paulo,12323-220,BR,Brazil,LaraBarrosSilva@armyspy.com,8935,0.34,1,16,0,1,2,1,5,3070,85,Email,0
2461,Sra.,Vitoria,Pereira,51,Feminino,Travessa Crispim Adelino Cardoso 63,Suzano,SP,São Paulo,08620-020,BR,Brazil,VitoriaMartinsPereira@superrito.com,7925,0.87,1,12,0,5,46,57,3,7455,74,Push,1
2462,Sra.,Luana,Lima,27,Feminino,Rua Fluminense 35,Embu,SP,São Paulo,06824-300,BR,Brazil,LuanaFernandesLima@armyspy.com,3300,0.05,0,2,0,1,1,3,5,7926,70,Email,0
2463,Sr.,Fábio,Cardoso,53,Masculino,Praça Henrique Giusti 471,São Bernardo do Campo,SP,São Paulo,09715-205,BR,Brazil,FabioLimaCardoso@teleworm.us,3838,0.05,10,16,1,0,3,7,4,2399,69,Ligacao,0
2464,Sr.,Lucas,Cunha,42,Masculino,Travessa Quatro 213,Rio Grande,RS,Rio Grande do Sul,96208-430,BR,Brazil,LucasAlvesCunha@cuvox.de,9837,0.08,0,12,1,1,3,7,4,2542,47,Ligacao,0
2465,Sra.,Gabriela,Cunha,34,Feminino,Rua Agreste 553,Olinda,PE,Pernambuco,53190-800,BR,Brazil,GabrielaSousaCunha@gustr.com,5226,0.16,1,14,0,5,1,8,4,4236,73,Email,0
2466,Sr.,Vitór,Alves,28,Masculino,Praça Nove de Julho 70,Santa Bárbara D'Oeste,SP,São Paulo,13450-014,BR,Brazil,VitorBarrosAlves@superrito.com,3097,0.25,15,0,0,4,1,5,4,6106,59,Ligacao,0
2467,Sra.,Raissa,Rodrigues,33,Feminino,Rua Seiscentos e Quarenta e Seis 106,Volta Redonda,RJ,Rio de Janeiro,27260-830,BR,Brazil,RaissaPereiraRodrigues@superrito.com,4031,0.82,6,19,0,3,17,189,2,8362,41,SMS,1
2468,Sr.,Victor,Carvalho,52,Masculino,Rua José Marcondes da Fonseca 709,Poços de Caldas,MG,Minas Gerais,37701-293,BR,Brazil,VictorCavalcantiCarvalho@rhyta.com,9310,1,6,10,1,1,29,62,1,6569,63,Push,1
2469,Sr.,Paulo,Silva,36,Masculino,Rua BG 4 479,Goiânia,GO,Goiás,74485-854,BR,Brazil,PauloSouzaSilva@rhyta.com,5643,0.85,8,17,0,1,45,190,1,4003,35,Email,1
2470,Sra.,Leonor,Ferreira,29,Feminino,Avenida das Primaveras 69,Campo Grande,MS,Mato Grosso do Sul,79080-560,BR,Brazil,LeonorGomesFerreira@gustr.com,9466,0.81,5,17,0,3,47,146,3,5038,77,Push,1
2471,Sr.,Enzo,Dias,60,Masculino,Rua Delfino Sena 1584,Salvador,BA,Bahia,41235-610,BR,Brazil,EnzoAlmeidaDias@einrot.com,3637,0.06,8,18,0,1,3,4,5,851,62,Push,0
2472,Sr.,Gustavo,Cavalcanti,59,Masculino,Rua Trípoli 1494,Franco da Rocha,SP,São Paulo,07856-270,BR,Brazil,GustavoPereiraCavalcanti@teleworm.us,4056,0.37,5,0,0,5,2,8,4,7805,37,Ligacao,0
2473,Sr.,Kauã,Silva,51,Masculino,Rua Dezessete 1867,Gravataí,RS,Rio Grande do Sul,94160-420,BR,Brazil,KauaRochaSilva@gustr.com,6372,0.14,9,1,0,5,2,7,5,6089,68,Push,0
2474,Sra.,Amanda,Pinto,48,Feminino,Vila João Vaz Sobrinho 79,Florianópolis,SC,Santa Catarina,88075-315,BR,Brazil,AmandaGoncalvesPinto@jourrapide.com,9802,0.86,2,19,1,0,50,186,1,1675,88,SMS,1
2475,Sra.,Ana,Pereira,42,Feminino,Rua Modesto Álvares Dias 95,Diadema,SP,São Paulo,09990-600,BR,Brazil,AnaSousaPereira@fleckens.hu,5875,0.2,9,16,1,3,3,3,4,1103,75,Push,0
2476,Sr.,Julian,Lima,45,Masculino,Rua das Begônias 1408,Serra,ES,Espírito Santo,29177-181,BR,Brazil,JulianCardosoLima@fleckens.hu,5043,0.12,14,2,0,3,3,2,4,2188,89,Ligacao,0
2477,Sr.,Arthur,Silva,19,Masculino,Alameda das Safiras 767,Dourados,MS,Mato Grosso do Sul,79815-150,BR,Brazil,ArthurAlmeidaSilva@superrito.com,5232,0.35,13,4,0,0,3,3,4,6515,40,SMS,0
2478,Sra.,Raissa,Araujo,62,Feminino,Rua Nossa Senhora das Dores 1991,Campina Grande,PB,Paraíba,58109-335,BR,Brazil,RaissaSouzaAraujo@jourrapide.com,4941,0.8,5,20,1,1,23,68,2,6448,63,Ligacao,1
2479,Sr.,Antônio,Silva,50,Masculino,Rua José Octacílio Crozariol 661,Taubaté,SP,São Paulo,12070-810,BR,Brazil,AntonioBarbosaSilva@superrito.com,8585,0.17,14,14,0,3,2,8,4,8796,66,Push,0
2480,Sr.,Vinícius,Almeida,35,Masculino,Rua Rio São Francisco 1736,Pindamonhangaba,SP,São Paulo,12443-250,BR,Brazil,ViniciusBarbosaAlmeida@rhyta.com,7158,1,7,19,0,0,23,36,0,387,38,Push,1
2481,Sr.,Eduardo,Santos,36,Masculino,Rua Lúcia Miguel Pereira 281,São Paulo,SP,São Paulo,03351-130,BR,Brazil,EduardoMeloSantos@dayrep.com,8965,0.92,5,20,0,1,46,112,3,4925,86,SMS,1
2482,Sra.,Manuela,Sousa,34,Feminino,Rua Morubixaba 1876,Praia Grande,SP,São Paulo,11703-570,BR,Brazil,ManuelaCostaSousa@teleworm.us,3225,0.88,8,11,0,5,34,34,2,6028,30,Email,1
2483,Sra.,Anna,Cunha,47,Feminino,Rua José Eduardo de Castro Resende 17,Uberaba,MG,Minas Gerais,38057-840,BR,Brazil,AnnaDiasCunha@fleckens.hu,7362,0.89,2,2,0,0,34,31,3,1786,60,SMS,1
2484,Sr.,José,Sousa,34,Masculino,Avenida Simon Bolívar 1401,Salvador,BA,Bahia,41750-230,BR,Brazil,JoseGomesSousa@fleckens.hu,3915,0.81,11,19,0,5,43,55,0,9279,33,Push,1
2485,Sra.,Marisa,Castro,19,Feminino,Rua Onofre Rais 1384,Franco da Rocha,SP,São Paulo,07830-200,BR,Brazil,MarisaPintoCastro@jourrapide.com,6047,1,10,8,0,5,20,195,3,4319,51,SMS,1
2486,Sr.,Kauan,Pinto,38,Masculino,Rua dos Argentinos 1261,Itaquaquecetuba,SP,São Paulo,08579-350,BR,Brazil,KauanOliveiraPinto@superrito.com,7087,0.37,0,11,0,1,3,4,5,6273,55,Email,0
2487,Sra.,Laura,Carvalho,51,Feminino,Rua Deolindo Raimundo 1080,São Carlos,SP,São Paulo,13570-211,BR,Brazil,LauraBarrosCarvalho@jourrapide.com,9986,0.29,8,7,0,1,1,3,4,1180,66,SMS,0
2488,Sra.,Aline,Gomes,21,Feminino,Rua Plantano 147,Jaboatão dos Guararapes,PE,Pernambuco,54345-060,BR,Brazil,AlineCavalcantiGomes@fleckens.hu,9547,0.91,13,20,0,4,24,86,0,1437,85,Push,1
2489,Sr.,Lucas,Azevedo,38,Masculino,Rua do Lítio 573,Natal,RN,Rio Grande do Norte,59076-370,BR,Brazil,LucasCarvalhoAzevedo@cuvox.de,7969,0.12,1,1,0,2,3,0,5,6291,70,Push,0
2490,Sr.,Enzo,Lima,44,Masculino,Estrada Marechal Mascarenhas de Moraes 260,Santana de Parnaíba,SP,São Paulo,06513-050,BR,Brazil,EnzoBarrosLima@jourrapide.com,8318,0.33,0,1,0,5,2,1,4,5609,88,Push,0
2491,Sra.,Vitória,Correia,40,Feminino,Rua João Holler 1324,Foz do Iguaçu,PR,Paraná,85856-200,BR,Brazil,VitoriaGomesCorreia@superrito.com,4705,0.22,12,2,0,5,3,5,5,9733,34,SMS,0
2492,Sr.,Fábio,Pereira,59,Masculino,Rua Santo Melarato 1892,São Vicente,SP,São Paulo,11390-030,BR,Brazil,FabioOliveiraPereira@rhyta.com,4996,0.98,1,14,0,0,46,118,3,7159,55,SMS,1
2493,Sr.,Davi,Silva,41,Masculino,Rua Alto Garças 466,São Paulo,SP,São Paulo,03546-000,BR,Brazil,DaviSouzaSilva@fleckens.hu,5725,0.12,7,7,0,2,3,2,4,1858,55,Push,0
2494,Sr.,Rafael,Costa,52,Masculino,Rua Cândido Souza de Oliveira 654,Limeira,SP,São Paulo,13480-620,BR,Brazil,RafaelCorreiaCosta@jourrapide.com,3846,0.81,0,15,1,4,21,127,3,827,59,Ligacao,1
2495,Sr.,Fábio,Gomes,46,Masculino,Rua São Mateus 1850,Salvador,BA,Bahia,41190-270,BR,Brazil,FabioBarbosaGomes@einrot.com,9758,0.39,9,11,0,1,2,1,5,9056,60,Push,0
2496,Sr.,Luis,Oliveira,60,Masculino,Rua Magnólia 692,Santo André,SP,São Paulo,09195-650,BR,Brazil,LuisCunhaOliveira@dayrep.com,6874,0.94,14,20,1,0,32,140,2,4246,42,Email,1
2497,Sr.,João,Castro,31,Masculino,Rua Bandeirantes 1697,Teixeira de Freitas,BA,Bahia,45995-205,BR,Brazil,JoaoFerreiraCastro@teleworm.us,8114,1,6,16,0,5,50,159,1,1777,39,Push,1
2498,Sra.,Sarah,Ribeiro,50,Feminino,Rua Adulcino José Jordão 1544,Londrina,PR,Paraná,86070-150,BR,Brazil,SarahCastroRibeiro@jourrapide.com,7997,0.09,9,20,0,5,1,2,5,5118,50,Push,0
2499,Sra.,Sarah,Azevedo,33,Feminino,Rua Oiticica 957,Queimados,RJ,Rio de Janeiro,26371-370,BR,Brazil,SarahLimaAzevedo@rhyta.com,4113,0.95,2,14,0,1,11,170,2,200,56,Ligacao,1
2500,Sra.,Clara,Melo,45,Feminino,Rua Síria 1404,Belo Horizonte,MG,Minas Gerais,30150-020,BR,Brazil,ClaraAzevedoMelo@jourrapide.com,6475,0.88,9,12,0,4,39,182,3,1105,55,Email,1
2501,Sr.,Gustavo,Ribeiro,52,Masculino,Praça Onze de Junho 670,Belém,PA,Pará,66020-450,BR,Brazil,GustavoMeloRibeiro@dayrep.com,7859,1,9,15,0,1,48,83,0,7533,54,Push,1
2502,Sra.,Julia,Sousa,51,Feminino,Rua Antônio Marcelo Ferreira 1424,Criciúma,SC,Santa Catarina,88810-016,BR,Brazil,JuliaSouzaSousa@dayrep.com,3027,0.89,14,16,0,3,47,91,1,6824,78,Email,1
2503,Sr.,Antônio,Goncalves,26,Masculino,Quadra Dirceu Arcoverde-II 349,Teresina,PI,Piauí,64078-220,BR,Brazil,AntonioFernandesGoncalves@armyspy.com,3147,0.44,14,17,0,3,1,3,4,3674,71,Ligacao,0
2504,Sr.,Kauê,Pinto,51,Masculino,Rua Abalém Moruta Frangia 1494,Uberlândia,MG,Minas Gerais,38402-038,BR,Brazil,KaueSilvaPinto@cuvox.de,3403,0.26,0,16,0,5,1,2,5,316,79,Ligacao,0
2505,Sr.,Alex,Dias,43,Masculino,Rua Rio Pardo 896,Recife,PE,Pernambuco,51230-110,BR,Brazil,AlexBarbosaDias@einrot.com,3661,0.26,14,20,0,4,3,3,4,8530,81,SMS,0
2506,Sra.,Fernanda,Dias,41,Feminino,2ª Travessa Maria da Conceição Rodrigues 113,Camaragibe,PE,Pernambuco,54792-152,BR,Brazil,FernandaRochaDias@gustr.com,4030,0.17,7,20,0,3,1,2,4,7515,42,Ligacao,0
2507,Sr.,Rodrigo,Ribeiro,64,Masculino,Quadra QR 414 Conjunto 05 942,Samambaia,DF,Distrito Federal,72320-205,BR,Brazil,RodrigoSouzaRibeiro@einrot.com,3149,0.15,11,13,0,2,3,5,5,6842,35,Email,0
2508,Sr.,Julian,Cunha,56,Masculino,Rua Um 19,Ribeirão das Neves,MG,Minas Gerais,33943-010,BR,Brazil,JulianRodriguesCunha@dayrep.com,3591,0.83,1,5,0,3,38,137,1,9121,90,Push,1
2509,Sr.,Thiago,Souza,41,Masculino,Rua das Quaresmeiras 1648,Avaré,SP,São Paulo,18701-173,BR,Brazil,ThiagoSousaSouza@superrito.com,9487,0.4,13,15,1,1,1,8,5,9043,30,SMS,0
2510,Sr.,Eduardo,Gomes,49,Masculino,Rua Doutor Henrique Mangeon 1345,Campinas,SP,São Paulo,13073-250,BR,Brazil,EduardoPereiraGomes@rhyta.com,9477,0.41,13,7,0,1,2,6,5,2058,82,Email,0
2511,Sr.,Luis,Cavalcanti,40,Masculino,Estrada Velha de Maricá 920,Niterói,RJ,Rio de Janeiro,24330-000,BR,Brazil,LuisFernandesCavalcanti@cuvox.de,9902,0.26,4,17,0,4,1,7,5,171,34,SMS,0
2512,Sr.,Otávio,Gomes,38,Masculino,Rua Francisco Tramonte 1738,Poços de Caldas,MG,Minas Gerais,37704-256,BR,Brazil,OtavioSouzaGomes@einrot.com,3664,0.96,12,5,0,5,15,54,0,9947,63,Email,1
2513,Sra.,Isabela,Oliveira,26,Feminino,Rua Jurandir Caetano 501,Presidente Prudente,SP,São Paulo,19022-220,BR,Brazil,IsabelaRibeiroOliveira@dayrep.com,4566,0.8,6,2,1,1,33,140,0,2583,47,SMS,1
2514,Sra.,Lavinia,Rodrigues,43,Feminino,Rua Celso Baeta Neves 589,Belo Horizonte,MG,Minas Gerais,30865-470,BR,Brazil,LaviniaBarbosaRodrigues@superrito.com,7646,1,14,14,0,0,29,197,0,8475,63,Push,1
2515,Sr.,Estevan,Cunha,19,Masculino,Estrada das Mimosas 1767,Osasco,SP,São Paulo,06150-550,BR,Brazil,EstevanSantosCunha@gustr.com,8947,0.32,15,15,0,3,2,1,4,1531,77,Ligacao,0
2516,Sr.,Renan,Sousa,18,Masculino,Rua Joel Dibo 1594,Campo Grande,MS,Mato Grosso do Sul,79002-060,BR,Brazil,RenanSouzaSousa@teleworm.us,3030,0.06,14,11,0,4,1,3,4,7200,87,SMS,0
2517,Sra.,Rafaela,Oliveira,60,Feminino,Rua Arruda 1595,Uberlândia,MG,Minas Gerais,38407-129,BR,Brazil,RafaelaCunhaOliveira@rhyta.com,6411,0.14,5,0,1,1,2,5,4,4946,35,Email,0
2518,Sra.,Emily,Fernandes,32,Feminino,Rua Palmeira dos Índios 1584,Paulista,PE,Pernambuco,53429-500,BR,Brazil,EmilySouzaFernandes@rhyta.com,7113,0.89,9,7,0,2,15,39,1,8726,76,Ligacao,1
2519,Sra.,Beatrice,Silva,46,Feminino,Praça Raul Soares 1633,Montes Claros,MG,Minas Gerais,39400-070,BR,Brazil,BeatriceRibeiroSilva@gustr.com,7707,0.19,5,1,0,4,3,8,4,1626,35,Push,0
2520,Sr.,Victor,Carvalho,55,Masculino,Rua Guatapara 131,Goiânia,GO,Goiás,74672-030,BR,Brazil,VictorLimaCarvalho@teleworm.us,8605,0.82,6,18,0,3,30,71,3,6594,58,Email,1
2521,Sr.,Júlio,Gomes,26,Masculino,Rua José de Alencar 953,São Lourenço da Mata,PE,Pernambuco,54735-440,BR,Brazil,JulioCavalcantiGomes@jourrapide.com,4115,0.82,6,15,0,0,10,81,3,2224,48,Email,1
2522,Sr.,José,Martins,60,Masculino,Conjunto Almirante Tamandaré 988,Aracaju,SE,Sergipe,49087-720,BR,Brazil,JoseAlmeidaMartins@cuvox.de,5445,0.35,2,12,0,1,3,8,4,4965,74,Push,0
2523,Sr.,Luis,Alves,54,Masculino,Travessa João Cordeiro 194,Mossoró,RN,Rio Grande do Norte,59621-035,BR,Brazil,LuisRibeiroAlves@dayrep.com,3724,0.28,6,13,0,3,3,5,4,3088,58,Push,0
2524,Sra.,Livia,Alves,30,Feminino,Rua C 1413,Fortaleza,CE,Ceará,60543-340,BR,Brazil,LiviaCavalcantiAlves@superrito.com,9638,0.84,15,9,0,1,38,187,3,2804,61,Ligacao,1
2525,Sr.,Cauã,Castro,61,Masculino,Rua Vitória Régia 1816,São Paulo,SP,São Paulo,02990-370,BR,Brazil,CauaCorreiaCastro@fleckens.hu,4978,0.01,5,6,0,5,1,0,5,7784,59,Email,0
2526,Sra.,Rebeca,Goncalves,59,Feminino,Rua Trinta e Seis 1649,São José dos Campos,SP,São Paulo,12232-701,BR,Brazil,RebecaAlvesGoncalves@dayrep.com,4394,0.89,10,13,0,3,49,31,2,5357,90,Email,1
2527,Sr.,Murilo,Rodrigues,31,Masculino,Conjunto Malvina Aboud 1798,São Luís,MA,Maranhão,65025-570,BR,Brazil,MuriloDiasRodrigues@teleworm.us,3618,0.87,4,20,0,4,36,133,3,1333,56,Ligacao,1
2528,Sr.,Eduardo,Cunha,31,Masculino,Rua Onze 92,Montes Claros,MG,Minas Gerais,39402-508,BR,Brazil,EduardoRochaCunha@teleworm.us,6189,0.21,5,18,0,1,1,4,5,5860,65,Push,0
2529,Sr.,Arthur,Barros,18,Masculino,Rua Doutor Rafael Jambeiro 1868,Rio de Janeiro,RJ,Rio de Janeiro,23535-440,BR,Brazil,ArthurSouzaBarros@armyspy.com,4754,0.25,6,11,0,5,2,8,5,4277,37,Push,0
2530,Sra.,Evelyn,Carvalho,24,Feminino,Rua Benedito Lima Siqueira 1985,Maringá,PR,Paraná,87060-320,BR,Brazil,EvelynDiasCarvalho@jourrapide.com,5527,0.83,8,13,0,5,43,35,3,8880,53,SMS,1
2531,Sra.,Evelyn,Rodrigues,56,Feminino,Rua João Angola do Amaral 1962,São Paulo,SP,São Paulo,05544-210,BR,Brazil,EvelynSouzaRodrigues@gustr.com,7531,1,12,4,0,2,24,155,1,9684,43,Email,1
2532,Sr.,Nicolash,Gomes,66,Masculino,Rua Estanislau Chervinski 148,Cascavel,PR,Paraná,85818-720,BR,Brazil,NicolashSantosGomes@dayrep.com,9247,0.47,11,17,0,4,3,5,5,7914,89,Push,0
2533,Sra.,Thaís,Gomes,23,Feminino,Escada Djanira Nascimento Gonçalves 1916,Vitória,ES,Espírito Santo,29047-701,BR,Brazil,ThaisSantosGomes@gustr.com,6618,0.44,3,7,1,1,3,0,4,6668,72,Push,0
2534,Sr.,Mateus,Barbosa,35,Masculino,Rua Doutor Eduardo Martinelli 900,São Paulo,SP,São Paulo,04013-050,BR,Brazil,MateusPereiraBarbosa@gustr.com,3898,0.44,10,11,0,1,2,1,5,6120,37,Ligacao,0
2535,Sra.,Lara,Costa,44,Feminino,Rua Jeruzalém 1537,Betim,MG,Minas Gerais,32666-240,BR,Brazil,LaraMeloCosta@teleworm.us,8473,0.33,10,5,0,3,1,8,4,8748,52,SMS,0
2536,Sr.,Diego,Rodrigues,49,Masculino,Travessa Belo Jardim 437,João Pessoa,PB,Paraíba,58070-590,BR,Brazil,DiegoSantosRodrigues@fleckens.hu,3482,0.13,3,20,0,5,1,0,5,2101,89,SMS,0
2537,Sra.,Ana,Oliveira,33,Feminino,Rua do Caxundé 1838,Salvador,BA,Bahia,41705-140,BR,Brazil,AnaDiasOliveira@superrito.com,5012,0.85,8,12,0,2,28,170,3,7520,87,SMS,1
2538,Sra.,Sophia,Almeida,31,Feminino,Rua Maestro Silvestre Pereira de Oliveira 1614,Salto,SP,São Paulo,13327-272,BR,Brazil,SophiaAzevedoAlmeida@einrot.com,5996,1,13,4,1,1,42,45,3,769,45,SMS,1
2539,Sra.,Laura,Cunha,19,Feminino,Rua Potyra 1014,Betim,MG,Minas Gerais,32639-100,BR,Brazil,LauraCardosoCunha@fleckens.hu,7736,0.87,6,19,1,1,37,138,1,5044,64,Ligacao,1
2540,Sr.,Kauê,Oliveira,46,Masculino,Viaduto Dom Pedro I 1645,Porto Alegre,RS,Rio Grande do Sul,90110-190,BR,Brazil,KaueAraujoOliveira@dayrep.com,4016,0.95,9,3,0,5,45,184,0,5221,53,Email,1
